,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
153,2020-01-07 09:00:00,45.0,1028.5,0.0,1.3,252.0,3.3
154,2020-01-07 10:00:00,30.0,1028.8,0.0,1.0,272.0,3.4
155,2020-01-07 11:00:00,9.0,1029.1,0.0,1.9,303.0,3.3
156,2020-01-07 12:00:00,-11.0,1028.7,0.0,2.0,228.0,1.8
157,2020-01-07 13:00:00,-27.0,1028.1,0.0,2.7,221.0,2.8
158,2020-01-07 14:00:00,-37.0,1027.8,0.0,1.9,250.0,2.8
159,2020-01-07 15:00:00,-37.0,1027.9,0.0,2.4,260.0,3.2
160,2020-01-07 16:00:00,-27.0,1028.3,0.0,3.5,270.0,3.4
161,2020-01-07 17:00:00,-13.0,1028.7,0.0,2.6,257.0,2.5
162,2020-01-07 18:00:00,4.0,1029.1,0.0,3.1,263.0,2.8
163,2020-01-07 19:00:00,18.0,1029.3,0.0,3.2,321.0,3.3
164,2020-01-07 20:00:00,26.0,1029.5,0.0,3.5,298.0,3.7
165,2020-01-07 21:00:00,29.0,1030.0,0.0,3.8,289.0,5.2
166,2020-01-07 22:00:00,27.0,1030.2,0.0,5.0,329.0,3.9
167,2020-01-07 23:00:00,18.0,1030.1,0.0,4.5,276.0,4.8
168,2020-01-08 00:00:00,13.0,1030.3,0.0,4.2,281.0,4.9
169,2020-01-08 01:00:00,8.0,1031.1,0.0,4.0,271.0,5.4
170,2020-01-08 02:00:00,10.0,1031.6,0.0,2.0,273.0,4.4
171,2020-01-08 03:00:00,16.0,1031.7,0.0,2.3,249.0,3.8
172,2020-01-08 04:00:00,27.0,1031.5,0.0,2.1,245.0,4.3
173,2020-01-08 05:00:00,39.0,1031.7,0.0,1.7,273.0,5.6
174,2020-01-08 06:00:00,51.0,1031.9,0.0,1.9,271.0,4.6
175,2020-01-08 07:00:00,57.0,1032.3,0.0,1.9,281.0,4.9
176,2020-01-08 08:00:00,57.0,1032.6,0.0,2.2,280.0,3.8
177,2020-01-08 09:00:00,51.0,1033.1,0.0,2.4,269.0,3.2
178,2020-01-08 10:00:00,36.0,1033.4,0.0,3.5,264.0,3.7
179,2020-01-08 11:00:00,17.0,1033.7,0.0,3.0,278.0,4.5
180,2020-01-08 12:00:00,-6.0,1033.2,0.0,3.9,285.0,3.1
181,2020-01-08 13:00:00,-27.0,1032.7,0.0,4.8,251.0,3.3
182,2020-01-08 14:00:00,-43.0,1032.1,0.0,4.2,251.0,4.5
183,2020-01-08 15:00:00,-48.0,1032.1,0.0,4.7,247.0,5.0
184,2020-01-08 16:00:00,-41.0,1032.1,0.0,5.3,266.0,4.5
